identifier,score_percent
ac13atok,9.0
ac28azeg,1.0
ag46abiw,0.0
as73isud,100.0
at74ynyg,2.5
cu40xetu,95.5
cy73sela,41.0
ec40odyf,35.0
ej80ogyg,0.0
en82ymiw,100.0
es06usad,0.0
et28avyf,0.0
fi46dely,100.0
fy56zemu,88.0
gu75give,0.0
hi03vuqi,99.0
ig51ozof,100.0
in72oxep,95.0
ju47kato,0.0
ju89gaze,26.5
jy04quhi,18.5
ky38hefe,68.0
le49xeof,1.0
nu84byna,93.0
oc10idix,0.0
ok62ihoc,43.0
ow97ihos,1.0
pe27mava,8.0
pi52hedo,99.0
qo24gufe,0.0
ra27foxa,76.0
ro54hiqu,94.0
sa01juwe,18.0
sa20xago,27.0
se67myvy,64.5
to10fape,100.0
to23pasy,0.0
tu62wyjy,1.0
ty02muwa,99.5
ty03muwy,8.0
ug36eqom,1.0
ug59ubub,98.0
uh41elaj,0.0
uk61elac,63.5
uq23udok,19.0
vy30goxy,100.0
wi93xyle,0.0
wo70roru,16.5
wu71vewa,0.0
xi58xite,100.0
yk44obyb,60.0
yn19ufid,64.5
yr92osyb,100.0
ys42ibuq,51.5
yv49alyr,23.0
yx55qoim,100.0
za41xuki,80.0
ze30qyse,95.5
zu33ujwu,0.0
zy41qyfy,88.0
